folder,file,ext,kategorie,bytes,geaendert
(root),VUA.txt,.txt,text,60938,2013-02-11
(root),W18WzSZz.htm.part,.part,text,29614,2009-03-20
(root),WaltherAnhangOhneCodes.rtf,.rtf,text,82468,2003-11-13
(root),WaltherHaupttext.txt,.txt,text,259259,2004-07-16
(root),WaltherHaupttext1.txt,.txt,text,259186,2004-07-30
(root),WaltherHaupttext2.txt,.txt,text,258513,2004-07-30
(root),WaltherHaupttext3.txt,.txt,text,258417,2004-08-09
(root),WaltherHaupttext3.zip,.zip,archiv,83050,2004-10-29
(root),WaltherHaupttext_cn.txt,.txt,text,14034,2004-06-21
(root),WaltherHaupttextOhneCodes.rtf,.rtf,text,422913,2004-05-06
(root),WaltherLeich.txt,.txt,text,9043,2003-11-18
(root),WVV-Code.doc,.doc,text,23040,2004-08-03
Alte Texte,AC2 - Bibl.doc,.doc,text,27648,2009-12-14
Alte Texte,AC2.doc,.doc,text,863728,2009-12-14
Alte Texte,AC2.txt,.txt,text,85455,2009-12-18
Alte Texte,AC3-new.txt,.txt,text,91589,2009-12-15
Alte Texte,AC3.txt,.txt,text,91588,2009-12-15
Alte Texte,Ackermann aus Böhmen.doc,.doc,text,88576,2009-11-04
Alte Texte,ADP.doc,.doc,text,919040,2007-01-13
Alte Texte,ADP.txt,.txt,text,721182,2007-01-19
Alte Texte,AKKON.TXT,.txt,text,427444,2008-09-21
Alte Texte,AUP.doc,.doc,text,80302,2010-12-23
Alte Texte,AUP.txt,.txt,text,27152,2010-12-23
Alte Texte,BAB - 0001.doc,.doc,text,7202,2009-12-29
Alte Texte,BAB - 0002.doc,.doc,text,8343,2009-12-29
Alte Texte,BAB - 0003.doc,.doc,text,8613,2009-12-29
Alte Texte,BAB - 0004.doc,.doc,text,8539,2009-12-29
Alte Texte,BAB - 0005.doc,.doc,text,9138,2009-12-29
Alte Texte,BAB - 0006.doc,.doc,text,8663,2009-12-29
Alte Texte,BAB - 0007.doc,.doc,text,13984,2009-12-29
Alte Texte,BAB - 0008.doc,.doc,text,2940,2009-12-29
Alte Texte,BAB.txt,.txt,text,13253,2010-01-03
Alte Texte,Backup of ADP.wbk,.wbk,text,721184,2007-01-18
Alte Texte,Backup of APO.wbk,.wbk,text,103689,2007-10-12
Alte Texte,Backup of Apollonius.wbk,.wbk,text,263680,2006-12-29
Alte Texte,Backup of Buch von Troja.wbk,.wbk,text,93673,2006-12-01
Alte Texte,Backup of Johannes Rothe Ritterspiegel.wbk,.wbk,text,327168,2006-12-31
Alte Texte,Backup of Predigten1.wbk,.wbk,text,609851,2006-11-15
Alte Texte,Backup of RSP.wbk,.wbk,text,132312,2007-01-12
Alte Texte,BAD - 0001.doc,.doc,text,7337,2009-12-29
Alte Texte,BAD - 0002.doc,.doc,text,9048,2009-12-29
Alte Texte,BAD - 0003.doc,.doc,text,8646,2009-12-29
Alte Texte,BAD - 0004.doc,.doc,text,9106,2009-12-29
Alte Texte,BAD - 0005.doc,.doc,text,8514,2009-12-29
Alte Texte,BAD - 0006.doc,.doc,text,2409,2009-12-29
Alte Texte,BAD.txt,.txt,text,9104,2010-01-03
Alte Texte,BAR_export.txt,.txt,text,470191,2016-03-18
Alte Texte,Bruno von H2.ashx,.ashx,text,1162610,2009-03-20
Alte Texte,Bruno von H3.ashx,.ashx,text,1136082,2009-03-20
Alte Texte,Bruno von H4.ashx,.ashx,text,1130936,2009-03-20
Alte Texte,Brunwart von O3.ashx,.ashx,text,1120384,2009-03-20
Alte Texte,Brunwart von O4.ashx,.ashx,text,1130936,2009-03-20
Alte Texte,BST.doc,.doc,text,28672,2011-06-08
Alte Texte,BST.txt,.txt,text,3689,2011-06-13
Alte Texte,Buochein0001.tif,.tif,scan,1136404,2009-03-20
Alte Texte,Buochein0002.tif,.tif,scan,1113332,2009-03-20
Alte Texte,Buochein0003.tif,.tif,scan,1131578,2009-03-20
Alte Texte,cron-teil2-knapp-einsch.doc,.doc,text,27648,2010-09-30
Alte Texte,Crone-TEIL-2.TEX,.tex,text,759831,2009-10-05
Alte Texte,crone-teil1-Endfssg.tex,.tex,text,1292814,2009-10-05
Alte Texte,Crone-test.txt,.txt,text,794,2006-12-03
Alte Texte,Crone.txt,.txt,text,1443281,2010-09-30
Alte Texte,crone1.txt,.txt,text,580461,2010-09-27
Alte Texte,Crone2.txt,.txt,text,860689,2010-09-30
Alte Texte,DAH_export.txt,.txt,text,43341,2016-03-18
Alte Texte,DBW.doc,.doc,text,30720,2010-12-23
Alte Texte,DBW.txt,.txt,text,7843,2011-01-23
Alte Texte,DDL.doc,.doc,text,43008,2011-06-08
Alte Texte,DDL.txt,.txt,text,12308,2011-06-13
Alte Texte,DDM.doc,.doc,text,43756,2010-12-23
Alte Texte,DDM.txt,.txt,text,20313,2011-02-23
Alte Texte,DDS.txt,.txt,text,3253,2011-05-24
Alte Texte,DFE.doc,.doc,text,25426,2010-12-23
Alte Texte,DFE.txt,.txt,text,15039,2011-02-02
Alte Texte,DFS.doc,.doc,text,21213,2010-12-23
Alte Texte,DFS.txt,.txt,text,10690,2011-01-23
Alte Texte,DFT.doc,.doc,text,168636,2010-12-23
Alte Texte,DFT.txt,.txt,text,20219,2010-12-23
Alte Texte,DGA.txt,.txt,text,2491,2011-05-24
Alte Texte,DGM.doc,.doc,text,25088,2011-06-08
Alte Texte,DGM.txt,.txt,text,2406,2011-06-13
Alte Texte,DGS.doc,.doc,text,28672,2011-06-07
