nameConceptId,prefLabelDe,prefLabelEn,broaderConcepts,exactMatches,closeMatches
43100000,Namen: Säugetiernamen (Zoonyme),Names: Mammals names (Zoonyms),43000000,concept_14011400,
43110000,Namen: Haustiere & Nutztiere (Zoonyme),Names: Pets & Farm animals (Zoonyms),43100000,,concept_14012100
43111000,Namen: Pferdenamen (Zoonyme),Names: Horse names (Zoonyms),43110000,concept_23221000,
43200000,Namen: Vogelnamen (Zoonyme),Names: Bird names (Zoonyms),43000000,concept_14027000,
43300000,Namen: Fischnamen (Zoonyme),Names: Fish names (Zoonyms),43000000,concept_14034000,
43400000,Namen: Reptiliennamen (Zoonyme),Names: Reptile names (Zoonyms),43000000,concept_14043000,
43500000,Namen: Exotische Tiere (Zoonyme),Names: Exotic animals (zoonyms),43000000,concept_14017100,
44000000,Namen: Mythische Geschöpfe (Theonyme & Mythonyme),Names: Mythical Beings (Theonyms & Mythonyms),40000000,,
44100000,Namen: Götternamen (Theonyme),Names: God names (Theonyms),44000000,,
44200000,Namen: Namen von Fabelwesen (Mythonyme),Names: Names of mythical beings (Mythonyms),44000000,,"concept_14110000,concept_21022000"
45000000,Namen: Objektnamen (Chrematonyme),Names: Object Names (Chrematonyms),40000000,,
45100000,Namen: Pflanzennamen (Phytonyme),Names: Plant names (Phytonyme),45000000,,concept_13131000
45200000,Namen: Unbelebte Objekte (Chrematonyme),Names: Inanimate objects (Chrematonyms),45000000,,
45210000,Namen: Waffennamen,Names: Weapon names,45200000,concept_23231100,
45220000,Namen: Rüstungsnamen,Names: Armour names,45200000,concept_23233000,
45230000,Namen: Namen von Tänzen & Musikstücken,Names: Names of dances & pieces of music,45200000,"concept_25132100,concept_25152100",concept_25153100
45240000,Namen: Weinnamen,Names: Wine names,45200000,concept_23303610,
45250000,Namen: Materialnamen/Rohstoffnamen,Names: Raw material names,45200000,,
45260000,Namen von Schmuckgegenständen,Names: Names of Jewelry,45200000,,concept_21113060
45270000,Namen von literarischen Werken/Werktitel,Names of literary works/work titles,45200000,concept_25122000,
46000000,Namen: Zeit- & Ereignisnamen (Chrononyme),Names: Time & Event Names (Chrononyms),40000000,,
46100000,Namen: Zeitnamen (Chrononyme),Names: Time names (Chrononyms),46000000,concept_31610000,
46110000,Namen: Namen von Feiertagen (Chrononyme),Names: Names of festive holidays (Chrononyms),46100000,,concept_24458000
46200000,Namen: Naturphänomene (Phänonyme),Names: Natural phenomena (phenonyms),46000000,,
46210000,Namen: Wetternamen/Windnamen (Anemonyme),Names: Weather name/Wind names (Anemonyms),46200000,concept_11210000,
46300000,Namen: Menschenbezogene Ereignisse (Praxonyme),Names: Human related events (Praxonyms),46000000,,
