conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
21040000,Organe von Menschen und ihre Funktionen,Organs of humans and their functions,Menschenorgane und ihre Funktion,,21000000
21041000,Gehirn/Nervensystem von Menschen,Human brain/Human nervous system,,,21040000
21042000,Kreislaufsystem von Menschen,Circulatory system of humans,Menschlicher Blutkreislauf,Human blood circulation,21040000
21043000,Atmung von Menschen,Respiratory system of humans,Menschliche Respiration,Human breathing,21040000
21044000,Stoffwechsel von Menschen,Metabolism of humans,Menschlicher Metabolismus,Human metabolic processes,21040000
21045000,Geschlechtsmerkmale/Zeugung/Geburt ,Sexual characteristics/Procreation/Birth ,Genitalien/Zeugung/Schwangerschaft,Genitals/Fertilization/Giving birth,"21040000,21112000"
21050000,Sprechwerkzeuge,Organs of speech,Sprechorgan,,21000000
21060000,Sinnesorgane und ihre Funktion,Sense organs and their functions,,,21000000
21061000,Gesichtssinn,Sense of seeing,Sehorgan,Optics,21060000
21062000,Gehörsinn,Sense of hearing,Hören,Hearing,21060000
21063000,Geruchsinn,Sense of smell,Riechorgan,Olfaction,21060000
21064000,Geschmackssinn,Sense of taste,Schmecken,Tasting,21060000
21065000,Tastsinn,Sense of touch,Tasten,Perception of touch,21060000
21066000,Temperaturwahrnehmung,Sense of temperature,Thermorezeption,Perception of temperature,21060000
21070000,Bewegungen/Stellungen/Haltungen,Motion/Positions/Posture,Posen/Körperhaltung,Movements/Positions/Poses,21000000
21071000,Selbstbezogene Aktivität/Tätigkeit,Self-centered activity,,,21070000
21072000,Objektbezogene Aktivität/Tätigkeit,Object-related activity,,,21070000
21080000,Schlaf,Sleep,Ausruhen,Resting,21000000
21090000,Gesundheit,Health,Körperliches Wohlergehen,Physical well-being,"21000000,32600000"
21091000,Krankheiten/Deformationen/Unregelmäßigkeiten von Menschen,Diseases/Deformities/Irregularities of humans,Körperliches Unwohlsein,Pain,"21090000,32600000"
21091100,Heilung und Pflege/Gift,Remedy and cure/Poison,Heilkunst,Healing arts,"21091000,32600000,32620000"
21091110,Säuglingspflege/Kinderpflege,Baby care/Child care,,,"21045000,21091100,21101000"
21091200,Bestimmte Krankheiten,Specific diseases,Bestimmtes körperliches Unwohlsein,Specific pain,"21091000,32600000"
21100000,Leben allgemein,Life in general,Wandel,Change,21000000
21101000,Geburt,Birth,,,21100000
21103000,Altersstufen,Stages of life,Lebensphasen,,21100000
21104000,Natürlicher Tod/Gewaltsamer Tod,Natural death/Violent death,Sterben,Natural death/Murder/Manslaughter,21100000
21110000,Allgemeine menschliche Bedürfnisse,General human needs,,,21000000
21111000,Ernährung von Menschen,Human nutrition,Nahrungsaufnahme,Diet,21110000
21111200,Mahlzeiten,Meals,Abendessen/Nachtmahl/Festmahl/Imbiss/Frühstück/Suppe,Dinner/Supper/Feast/Snack/Breakfast/Soup,21111000
21111300,Lebensmittel,Food products,Nahrungsmittel,Food,21111000
21111301,Fleisch,Meat,,,21111300
